yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201807,20180212~20180218,5,명탐정 코난:감벽의 관,20078561,2018-02-14,156706,157917,[{'genreNm': '애니메이션'}]
201807,20180212~20180218,6,그것만이 내 세상,20176104,2018-01-17,147594,3368262,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201807,20180212~20180218,7,코코,20179985,2018-01-11,136122,3431269,[{'genreNm': '애니메이션'}]
201807,20180212~20180218,8,패딩턴 2,20178672,2018-02-08,101332,227514,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201807,20180212~20180218,9,신과함께-죄와 벌,20150976,2017-12-20,64161,14398110,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
201807,20180212~20180218,10,인시디어스4: 라스트 키,20178126,2018-01-31,29829,550239,"[{'genreNm': '공포(호러)'}, {'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
201808,20180219~20180225,1,블랙 팬서,20170561,2018-02-14,1398906,4496609,"[{'genreNm': '액션'}, {'genreNm': '드라마'}, {'genreNm': 'SF'}]"
201808,20180219~20180225,2,골든슬럼버,20168250,2018-02-14,344961,1327592,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201808,20180219~20180225,3,조선명탐정: 흡혈괴마의 비밀,20179205,2018-02-08,310716,2386716,"[{'genreNm': '사극'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
201808,20180219~20180225,4,월요일이 사라졌다,20177946,2018-02-22,267769,267895,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '범죄'}]"
201808,20180219~20180225,5,셰이프 오브 워터: 사랑의 모양,20173436,2018-02-22,157591,162560,"[{'genreNm': '어드벤처'}, {'genreNm': '판타지'}]"
201808,20180219~20180225,6,50가지 그림자: 해방,20180542,2018-02-21,116592,116592,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}, {'genreNm': '스릴러'}]"
201808,20180219~20180225,7,흥부: 글로 세상을 바꾼 자,20176121,2018-02-14,82317,404649,[{'genreNm': '사극'}]
201808,20180219~20180225,8,명탐정 코난:감벽의 관,20078561,2018-02-14,68370,226287,[{'genreNm': '애니메이션'}]
201808,20180219~20180225,9,패딩턴 2,20178672,2018-02-08,60362,287876,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
201808,20180219~20180225,10,코코,20179985,2018-01-11,57691,3488960,[{'genreNm': '애니메이션'}]
201809,20180226~20180304,1,궁합,20150969,2018-02-28,921549,924228,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]"
