0,1,2
20167007,살인소설,[{'genreNm': '스릴러'}]
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20153447,바람 바람 바람,[{'genreNm': '코미디'}]
20177266,나를 기억해,"[{'genreNm': '미스터리'}, {'genreNm': '범죄'}, {'genreNm': '스릴러'}]"
20171122,레디 플레이어 원,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '어드벤처'}]"
20183195,레오나르도 다 빈치,[{'genreNm': '애니메이션'}]
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20189783,챔피언,[{'genreNm': '드라마'}]
20182984,얼리맨,[{'genreNm': '애니메이션'}]
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20182989,커다랗고 커다랗고 커다란 배,[{'genreNm': '애니메이션'}]
20182385,매직빈,[{'genreNm': '애니메이션'}]
20183195,레오나르도 다 빈치,[{'genreNm': '애니메이션'}]
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20176069,원더스트럭,[{'genreNm': '드라마'}]
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20189783,챔피언,[{'genreNm': '드라마'}]
20182989,커다랗고 커다랗고 커다란 배,[{'genreNm': '애니메이션'}]
20182984,얼리맨,[{'genreNm': '애니메이션'}]
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20137352,루비 스팍스,"[{'genreNm': '코미디'}, {'genreNm': '판타지'}]"
20176067,"부르고뉴, 와인에서 찾은 인생",[{'genreNm': '드라마'}]
20182352,"그날, 바다",[{'genreNm': '다큐멘터리'}]
20182385,매직빈,[{'genreNm': '애니메이션'}]
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20183084,피터 래빗,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
20189783,챔피언,[{'genreNm': '드라마'}]
20182046,"안녕, 나의 소녀",[{'genreNm': '멜로/로맨스'}]
20183321,마징가 Z: 인피니티,"[{'genreNm': '애니메이션'}, {'genreNm': 'SF'}, {'genreNm': '액션'}]"
20182561,당갈,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
20176067,"부르고뉴, 와인에서 찾은 인생",[{'genreNm': '드라마'}]
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20183084,피터 래빗,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
20183801,트루스 오어 데어,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20180789,한 솔로: 스타워즈 스토리,"[{'genreNm': '액션'}, {'genreNm': 'SF'}]"
20182046,"안녕, 나의 소녀",[{'genreNm': '멜로/로맨스'}]
20177005,레슬러,"[{'genreNm': '드라마'}, {'genreNm': '코미디'}]"
20184513,위 베어 베어스: 베이비 베어스,"[{'genreNm': '애니메이션'}, {'genreNm': '드라마'}, {'genreNm': '가족'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20183801,트루스 오어 데어,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20180789,한 솔로: 스타워즈 스토리,"[{'genreNm': '액션'}, {'genreNm': 'SF'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20183084,피터 래빗,"[{'genreNm': '애니메이션'}, {'genreNm': '가족'}]"
20173865,데자뷰,"[{'genreNm': '미스터리'}, {'genreNm': '스릴러'}]"
20176053,"스탠바이, 웬디",[{'genreNm': '드라마'}]
20182046,"안녕, 나의 소녀",[{'genreNm': '멜로/로맨스'}]
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,[{'genreNm': '애니메이션'}]
20185081,아이 필 프리티,[{'genreNm': '코미디'}]
20184801,유전,[{'genreNm': '공포(호러)'}]
20177478,어벤져스: 인피니티 워,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]"
20184261,벅스 프렌즈,[{'genreNm': '애니메이션'}]
20183801,트루스 오어 데어,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]"
20173202,버닝,[{'genreNm': '미스터리'}]
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20184903,오션스8,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20185081,아이 필 프리티,[{'genreNm': '코미디'}]
20184801,유전,[{'genreNm': '공포(호러)'}]
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,[{'genreNm': '애니메이션'}]
20176848,데드풀 2,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}, {'genreNm': 'SF'}]"
20172469,허스토리,[{'genreNm': '드라마'}]
20184512,토니스토리2: 고철왕국의 친구들,"[{'genreNm': '애니메이션'}, {'genreNm': '코미디'}, {'genreNm': '어드벤처'}]"
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20184903,오션스8,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20184845,미드나잇 선,[{'genreNm': '멜로/로맨스'}]
20184101,여중생A,[{'genreNm': '드라마'}]
20185081,아이 필 프리티,[{'genreNm': '코미디'}]
20184689,아일라,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]"
20090834,아바타,"[{'genreNm': 'SF'}, {'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
20184801,유전,[{'genreNm': '공포(호러)'}]
20185341,마녀,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]"
20178161,탐정: 리턴즈,"[{'genreNm': '코미디'}, {'genreNm': '범죄'}]"
20179086,쥬라기 월드: 폴른 킹덤,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20184903,오션스8,"[{'genreNm': '액션'}, {'genreNm': '범죄'}]"
20172469,허스토리,[{'genreNm': '드라마'}]
20184721,시카리오: 데이 오브 솔다도,"[{'genreNm': '액션'}, {'genreNm': '범죄'}, {'genreNm': '드라마'}]"
20184845,미드나잇 선,[{'genreNm': '멜로/로맨스'}]
20179383,독전,"[{'genreNm': '범죄'}, {'genreNm': '액션'}]"
20185001,빅샤크: 매직체인지,[{'genreNm': '애니메이션'}]
20184101,여중생A,[{'genreNm': '드라마'}]
20180522,앤트맨과 와스프,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': 'SF'}]"
20185341,마녀,"[{'genreNm': '미스터리'}, {'genreNm': '액션'}]"
20174369,변산,[{'genreNm': '드라마'}]
